01/06/2023 12:22:45        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,40 STD.DEV.:0,00 VAR.:0,00}  PERC.TEMP.{MEAN:24,59 STD.DEV.:0,00 VAR.:0,00}  
01/06/2023 12:22:55        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,35 STD.DEV.:0,05 VAR.:0,00}  PERC.TEMP.{MEAN:24,54 STD.DEV.:0,05 VAR.:0,00}  
01/06/2023 12:23:06        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,33 STD.DEV.:0,05 VAR.:0,00}  PERC.TEMP.{MEAN:24,52 STD.DEV.:0,05 VAR.:0,00}  
01/06/2023 12:23:16        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,32 STD.DEV.:0,04 VAR.:0,00}  PERC.TEMP.{MEAN:24,51 STD.DEV.:0,05 VAR.:0,00}  
01/06/2023 12:23:26        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,30 STD.DEV.:0,06 VAR.:0,00}  PERC.TEMP.{MEAN:24,48 STD.DEV.:0,07 VAR.:0,00}  
01/06/2023 12:23:36        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,28 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,46 STD.DEV.:0,08 VAR.:0,01}  
01/06/2023 12:23:46        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,27 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,45 STD.DEV.:0,08 VAR.:0,01}  
01/06/2023 12:23:56        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,26 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,44 STD.DEV.:0,08 VAR.:0,01}  
01/06/2023 12:24:06        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,26 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,43 STD.DEV.:0,08 VAR.:0,01}  
01/06/2023 12:24:17        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,25 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,43 STD.DEV.:0,07 VAR.:0,01}  
01/06/2023 12:24:27        HUM.{MEAN:65,00 STD.DEV.:0,00 VAR.:0,00}  TEMP.{MEAN:24,25 STD.DEV.:0,07 VAR.:0,00}  PERC.TEMP.{MEAN:24,42 STD.DEV.:0,07 VAR.:0,01}  
01/06/2023 12:24:37        HUM.{MEAN:65,08 STD.DEV.:0,28 VAR.:0,08}  TEMP.{MEAN:24,24 STD.DEV.:0,06 VAR.:0,00}  PERC.TEMP.{MEAN:24,42 STD.DEV.:0,07 VAR.:0,00}  
01/06/2023 12:24:47        HUM.{MEAN:65,15 STD.DEV.:0,36 VAR.:0,13}  TEMP.{MEAN:24,24 STD.DEV.:0,06 VAR.:0,00}  PERC.TEMP.{MEAN:24,42 STD.DEV.:0,07 VAR.:0,00}  
01/06/2023 12:24:57        HUM.{MEAN:65,36 STD.DEV.:0,81 VAR.:0,66}  TEMP.{MEAN:24,24 STD.DEV.:0,06 VAR.:0,00}  PERC.TEMP.{MEAN:24,42 STD.DEV.:0,06 VAR.:0,00}  
01/06/2023 12:25:07        HUM.{MEAN:65,93 STD.DEV.:2,29 VAR.:5,26}  TEMP.{MEAN:24,24 STD.DEV.:0,06 VAR.:0,00}  PERC.TEMP.{MEAN:24,44 STD.DEV.:0,10 VAR.:0,01}  
01/06/2023 12:25:17        HUM.{MEAN:67,19 STD.DEV.:5,34 VAR.:28,53}  TEMP.{MEAN:24,26 STD.DEV.:0,09 VAR.:0,01}  PERC.TEMP.{MEAN:24,49 STD.DEV.:0,22 VAR.:0,05}  
01/06/2023 12:25:28        HUM.{MEAN:68,76 STD.DEV.:8,16 VAR.:66,65}  TEMP.{MEAN:24,29 STD.DEV.:0,17 VAR.:0,03}  PERC.TEMP.{MEAN:24,57 STD.DEV.:0,39 VAR.:0,15}  
01/06/2023 12:25:38        HUM.{MEAN:70,22 STD.DEV.:9,95 VAR.:99,06}  TEMP.{MEAN:24,39 STD.DEV.:0,45 VAR.:0,20}  PERC.TEMP.{MEAN:24,79 STD.DEV.:0,98 VAR.:0,96}  
01/06/2023 12:25:48        HUM.{MEAN:70,89 STD.DEV.:10,10 VAR.:101,99}  TEMP.{MEAN:24,49 STD.DEV.:0,59 VAR.:0,35}  PERC.TEMP.{MEAN:24,97 STD.DEV.:1,22 VAR.:1,49}  
01/06/2023 12:25:58        HUM.{MEAN:70,95 STD.DEV.:9,85 VAR.:96,95}  TEMP.{MEAN:24,57 STD.DEV.:0,68 VAR.:0,46}  PERC.TEMP.{MEAN:25,10 STD.DEV.:1,31 VAR.:1,73}  
